,color,silhouette,area,n-n_bkg,sigmas,x,y,ra,dec
0,#00ffff,0.4291913665250503,0.02459646422379768,343,14.485602162136269,4160.331182465761,4189.059324577687,336.42851032215367,65.59984992349888
1,#ff7f0e,0.8514544651780364,0.00205074286275589,43,5.131853821098548,4227.170932530568,4037.5311784835158,336.4064323839685,65.57913641172996
2,#ffbb78,0.922173985151452,0.0018511704311339728,42,5.336834586273688,4115.137862791021,4884.684487159289,336.44343883366906,65.69491990765017
3,#d62728,0.6229360108494548,0.001446126075332677,37,5.217105930782745,3644.1391456168876,4673.948545465074,336.59966247508675,65.66604577793125
